registertime,dbn_registertime,departurefloor,destinationfloor,isup,registertime_dayofweek,iserroroccured,weekend,registertime_15min
2015-11-16 16:45:59.1,60479,10,7,0,1,0,0,45
2015-11-16 16:48:09.1,60489,8,3,0,1,0,0,45
2015-11-16 16:48:11.6,60491,3,14,1,1,0,0,45
2015-11-16 16:48:12.6,60492,3,10,1,1,0,0,45
2015-11-16 16:48:23.3,60503,3,7,1,1,0,0,45
2015-11-16 16:48:27.9,60507,12,14,1,1,0,0,45
2015-11-16 16:48:40.3,60520,3,10,1,1,0,0,45
2015-11-16 16:48:48.6,60528,5,3,0,1,0,0,45
2015-11-16 16:48:56,60536,16,5,0,1,0,0,45
2015-11-16 16:48:59.5,60539,8,14,1,1,0,0,45
2015-11-16 16:49:01.2,60541,16,12,0,1,0,0,45
2015-11-16 16:49:03.4,60543,16,3,0,1,0,0,45
2015-11-16 16:49:08.3,60548,16,11,0,1,0,0,45
2015-11-16 16:49:10.8,60550,16,8,0,1,0,0,45
2015-11-16 16:49:23.5,60563,3,11,1,1,0,0,45
2015-11-16 16:49:23.7,60563,3,11,1,1,0,0,45
2015-11-16 16:49:27.1,60567,3,11,1,1,0,0,45
2015-11-16 16:49:31.8,60571,3,13,1,1,0,0,45
2015-11-16 16:49:38.3,60578,9,3,0,1,0,0,45
2015-11-16 16:49:47.6,60587,3,14,1,1,0,0,45
2015-11-16 16:49:49.7,60589,5,3,0,1,0,0,45
2015-11-16 16:49:52.3,60592,16,5,0,1,0,0,45
2015-11-16 16:49:52.8,60592,3,5,1,1,0,0,45
2015-11-16 16:49:54.5,60594,3,12,1,1,0,0,45
2015-11-16 16:49:54.5,60594,16,5,0,1,0,0,45
2015-11-16 16:49:56.5,60596,16,12,0,1,0,0,45
2015-11-16 16:49:58.3,60598,16,10,0,1,0,0,45
2015-11-16 16:50:00.3,60600,16,7,0,1,0,0,45
2015-11-16 16:50:24.1,60624,3,12,1,1,0,0,45
2015-11-16 16:50:34.9,60634,6,3,0,1,0,0,45
2015-11-16 16:50:40.1,60640,11,3,0,1,0,0,45
2015-11-16 16:50:53.9,60653,3,15,1,1,0,0,45
2015-11-16 16:50:55,60655,3,6,1,1,0,0,45
2015-11-16 16:50:58.7,60658,11,3,0,1,0,0,45
2015-11-16 16:51:06.8,60666,5,3,0,1,0,0,45
2015-11-16 16:51:11.9,60671,3,7,1,1,0,0,45
2015-11-16 16:51:32.3,60692,3,12,1,1,0,0,45
2015-11-16 16:51:37.7,60697,3,10,1,1,0,0,45
2015-11-16 16:51:46,60706,16,3,0,1,0,0,45
2015-11-16 16:51:58.9,60718,13,12,0,1,0,0,45
2015-11-16 16:52:09.4,60729,3,10,1,1,0,0,45
2015-11-16 16:52:10.4,60730,3,4,1,1,0,0,45
2015-11-16 16:52:47.4,60767,3,8,1,1,0,0,45
2015-11-16 16:53:07.1,60787,14,3,0,1,0,0,45
2015-11-16 16:53:09.5,60789,9,3,0,1,0,0,45
2015-11-16 16:53:09.9,60789,8,3,0,1,0,0,45
2015-11-16 16:53:40.6,60820,3,6,1,1,0,0,45
2015-11-16 16:53:42.8,60822,14,12,0,1,0,0,45
2015-11-16 16:53:47.4,60827,14,4,0,1,0,0,45
2015-11-16 16:53:54.6,60834,3,8,1,1,0,0,45
2015-11-16 16:54:01.6,60841,3,8,1,1,0,0,45
2015-11-16 16:54:04.5,60844,3,14,1,1,0,0,45
2015-11-16 16:54:04.6,60844,3,15,1,1,0,0,45
2015-11-16 16:54:13.8,60853,9,3,0,1,0,0,45
2015-11-16 16:54:15,60855,3,11,1,1,0,0,45
2015-11-16 16:54:15.1,60855,12,3,0,1,0,0,45
2015-11-16 16:54:16,60856,3,12,1,1,0,0,45
2015-11-16 16:54:18.9,60858,7,3,0,1,0,0,45
2015-11-16 16:54:23.6,60863,14,6,0,1,0,0,45
2015-11-16 16:54:26.8,60866,3,5,1,1,0,0,45
2015-11-16 16:54:27.1,60867,3,5,1,1,0,0,45
2015-11-16 16:54:30.2,60870,5,3,0,1,0,0,45
2015-11-16 16:54:30.5,60870,7,3,0,1,0,0,45
2015-11-16 16:54:36.9,60876,3,11,1,1,0,0,45
2015-11-16 16:54:40.6,60880,3,6,1,1,0,0,45
2015-11-16 16:54:40.8,60880,3,4,1,1,0,0,45
2015-11-16 16:54:43.5,60883,3,6,1,1,0,0,45
2015-11-16 16:54:49.6,60889,7,3,0,1,0,0,45
2015-11-16 16:54:55,60895,3,8,1,1,0,0,45
2015-11-16 16:54:56.8,60896,15,3,0,1,0,0,45
2015-11-16 16:54:58.4,60898,12,3,0,1,0,0,45
2015-11-16 16:54:58.7,60898,12,3,0,1,0,0,45
2015-11-16 16:55:00.3,60900,11,3,0,1,0,0,45
2015-11-16 16:55:03.3,60903,3,10,1,1,0,0,45
2015-11-16 16:55:59.3,60959,3,9,1,1,0,0,45
2015-11-16 16:56:02.9,60962,3,5,1,1,0,0,45
2015-11-16 16:56:04.9,60964,15,3,0,1,0,0,45
2015-11-16 16:56:42.2,61002,12,3,0,1,0,0,45
2015-11-16 16:56:51,61011,5,3,0,1,0,0,45
2015-11-16 16:57:01.7,61021,10,3,0,1,0,0,45
2015-11-16 16:57:13.7,61033,3,9,1,1,0,0,45
2015-11-16 16:57:14.8,61034,15,3,0,1,0,0,45
2015-11-16 16:57:18.3,61038,7,3,0,1,0,0,45
2015-11-16 16:57:26.2,61046,3,8,1,1,0,0,45
2015-11-16 16:57:30.9,61050,3,8,1,1,0,0,45
2015-11-16 16:57:39.4,61059,3,5,1,1,0,0,45
2015-11-16 16:57:56.4,61076,3,7,1,1,0,0,45
2015-11-16 16:58:00.4,61080,13,3,0,1,0,0,45
2015-11-16 16:58:06.7,61086,3,7,1,1,0,0,45
2015-11-16 16:58:07.7,61087,3,7,1,1,0,0,45
2015-11-16 16:58:13,61093,14,8,0,1,0,0,45
2015-11-16 16:58:17.6,61097,5,3,0,1,0,0,45
2015-11-16 16:58:27.7,61107,16,3,0,1,0,0,45
2015-11-16 16:58:32.8,61112,16,10,0,1,0,0,45
2015-11-16 16:58:49.2,61129,3,8,1,1,0,0,45
2015-11-16 16:58:57.3,61137,14,3,0,1,0,0,45
2015-11-16 16:59:07.9,61147,4,3,0,1,0,0,45
2015-11-16 16:59:17.2,61157,13,3,0,1,0,0,45
2015-11-16 16:59:18.6,61158,16,3,0,1,0,0,45
2015-11-16 16:59:44.1,61184,5,3,0,1,0,0,45
2015-11-16 16:59:52.6,61192,3,8,1,1,0,0,45
2015-11-16 16:59:52.8,61192,4,6,1,1,0,0,45
2015-11-16 17:00:11.1,61211,3,7,1,1,0,0,0
2015-11-16 17:00:21.6,61221,3,12,1,1,0,0,0
2015-11-16 17:00:38.8,61238,3,12,1,1,0,0,0
2015-11-16 17:00:44.5,61244,3,4,1,1,0,0,0
2015-11-16 17:00:48.6,61248,5,3,0,1,0,0,0
2015-11-16 17:01:03.7,61263,8,3,0,1,0,0,0
2015-11-16 17:01:06.2,61266,3,9,1,1,0,0,0
2015-11-16 17:01:07.4,61267,11,3,0,1,0,0,0
2015-11-16 17:01:25.1,61285,3,15,1,1,0,0,0
2015-11-16 17:01:36.2,61296,7,3,0,1,0,0,0
2015-11-16 17:01:59.8,61319,12,3,0,1,0,0,0
2015-11-16 17:02:03.4,61323,3,11,1,1,0,0,0
2015-11-16 17:02:07.1,61327,14,3,0,1,0,0,0
2015-11-16 17:02:13.1,61333,3,13,1,1,0,0,0
2015-11-16 17:02:18.5,61338,8,3,0,1,0,0,0
2015-11-16 17:02:22.3,61342,5,3,0,1,0,0,0
2015-11-16 17:02:23.5,61343,3,12,1,1,0,0,0
2015-11-16 17:02:40.7,61360,10,3,0,1,0,0,0
2015-11-16 17:02:43.7,61363,3,16,1,1,0,0,0
2015-11-16 17:03:23.4,61403,3,5,1,1,0,0,0
2015-11-16 17:03:24.6,61404,8,3,0,1,0,0,0
2015-11-16 17:03:31.6,61411,4,3,0,1,0,0,0
2015-11-16 17:03:40.3,61420,3,9,1,1,0,0,0
2015-11-16 17:03:46.4,61426,10,3,0,1,0,0,0
2015-11-16 17:04:04,61444,3,12,1,1,0,0,0
2015-11-16 17:04:09,61449,3,15,1,1,0,0,0
2015-11-16 17:04:26.6,61466,3,5,1,1,0,0,0
2015-11-16 17:05:02.5,61502,8,3,0,1,0,0,0
2015-11-16 17:05:12.3,61512,6,3,0,1,0,0,0
2015-11-16 17:05:28.9,61528,3,5,1,1,0,0,0
2015-11-16 17:05:50.7,61550,3,8,1,1,0,0,0
2015-11-16 17:05:51.1,61551,7,3,0,1,0,0,0
2015-11-16 17:05:55.5,61555,3,12,1,1,0,0,0
2015-11-16 17:06:02,61562,5,3,0,1,0,0,0
2015-11-16 17:06:11.3,61571,10,12,1,1,0,0,0
2015-11-16 17:06:13.3,61573,3,11,1,1,0,0,0
2015-11-16 17:06:16.7,61576,8,3,0,1,0,0,0
2015-11-16 17:06:46.6,61606,3,12,1,1,0,0,0
2015-11-16 17:07:17.3,61637,3,4,1,1,0,0,0
2015-11-16 17:07:21.6,61641,3,7,1,1,0,0,0
2015-11-16 17:07:30.2,61650,3,8,1,1,0,0,0
2015-11-16 17:07:35,61655,3,8,1,1,0,0,0
2015-11-16 17:07:35.8,61655,3,8,1,1,0,0,0
2015-11-16 17:07:38.2,61658,4,3,0,1,0,0,0
2015-11-16 17:07:51.3,61671,3,8,1,1,0,0,0
2015-11-16 17:07:59.3,61679,7,3,0,1,0,0,0
2015-11-16 17:08:03.1,61683,13,3,0,1,0,0,0
2015-11-16 17:08:08.6,61688,14,3,0,1,0,0,0
2015-11-16 17:08:21.6,61701,15,3,0,1,0,0,0
2015-11-16 17:08:51,61731,3,8,1,1,0,0,0
2015-11-16 17:09:01,61741,8,3,0,1,0,0,0
2015-11-16 17:09:07.2,61747,9,3,0,1,0,0,0
2015-11-16 17:09:16.5,61756,3,4,1,1,0,0,0
2015-11-16 17:09:21.7,61761,13,3,0,1,0,0,0
2015-11-16 17:09:27,61767,4,3,0,1,0,0,0
2015-11-16 17:09:37.6,61777,3,16,1,1,0,0,0
2015-11-16 17:10:04.1,61804,3,8,1,1,0,0,0
2015-11-16 17:10:05.9,61805,8,3,0,1,0,0,0
2015-11-16 17:10:06.2,61806,3,8,1,1,0,0,0
2015-11-16 17:10:06.7,61806,3,4,1,1,0,0,0
2015-11-16 17:10:24,61824,4,3,0,1,0,0,0
2015-11-16 17:10:29.7,61829,3,12,1,1,0,0,0
2015-11-16 17:10:36.1,61836,4,3,0,1,0,0,0
2015-11-16 17:10:51.5,61851,3,6,1,1,0,0,0
2015-11-16 17:11:10.9,61870,8,3,0,1,0,0,0
2015-11-16 17:11:17.1,61877,6,3,0,1,0,0,0
2015-11-16 17:11:53.6,61913,3,9,1,1,0,0,0
2015-11-16 17:12:18.2,61938,3,14,1,1,0,0,0
2015-11-16 17:12:32.4,61952,3,13,1,1,0,0,0
2015-11-16 17:12:34.4,61954,3,5,1,1,0,0,0
2015-11-16 17:12:37.2,61957,3,14,1,1,0,0,0
2015-11-16 17:12:53.8,61973,3,8,1,1,0,0,0
2015-11-16 17:13:03.9,61983,9,3,0,1,0,0,0
2015-11-16 17:13:22,62002,5,3,0,1,0,0,0
2015-11-16 17:13:24,62004,3,4,1,1,0,0,0
2015-11-16 17:13:27.9,62007,3,7,1,1,0,0,0
2015-11-16 17:13:30.4,62010,8,3,0,1,0,0,0
2015-11-16 17:13:31.8,62011,8,3,0,1,0,0,0
2015-11-16 17:13:47.7,62027,16,3,0,1,0,0,0
2015-11-16 17:13:52.9,62032,3,9,1,1,0,0,0
2015-11-16 17:13:59.4,62039,3,9,1,1,0,0,0
2015-11-16 17:14:03.4,62043,3,10,1,1,0,0,0
2015-11-16 17:14:09.3,62049,11,3,0,1,0,0,0
2015-11-16 17:14:18.5,62058,3,14,1,1,0,0,0
2015-11-16 17:14:20,62060,3,12,1,1,0,0,0
2015-11-16 17:14:21.9,62061,15,3,0,1,0,0,0
2015-11-16 17:14:29.6,62069,3,9,1,1,0,0,0
2015-11-16 17:14:41.7,62081,3,7,1,1,0,0,0
2015-11-16 17:15:06,62106,10,3,0,1,0,0,15
2015-11-16 17:15:10.7,62110,11,3,0,1,0,0,15
2015-11-16 17:15:14.2,62114,10,3,0,1,0,0,15
2015-11-16 17:15:17.1,62117,10,3,0,1,0,0,15
2015-11-16 17:15:25.2,62125,8,3,0,1,0,0,15
2015-11-16 17:15:25.7,62125,3,4,1,1,0,0,15
2015-11-16 17:15:43.7,62143,3,13,1,1,0,0,15
2015-11-16 17:15:52.2,62152,15,3,0,1,0,0,15
2015-11-16 17:16:24.9,62184,3,4,1,1,0,0,15
2015-11-16 17:16:32.8,62192,3,15,1,1,0,0,15
2015-11-16 17:16:36.7,62196,5,3,0,1,0,0,15
2015-11-16 17:16:47.9,62207,15,3,0,1,0,0,15
2015-11-16 17:16:55.5,62215,3,5,1,1,0,0,15
2015-11-16 17:17:47.1,62267,3,8,1,1,0,0,15
2015-11-16 17:18:10.2,62290,9,3,0,1,0,0,15
2015-11-16 17:18:11.3,62291,3,9,1,1,0,0,15
2015-11-16 17:18:13.8,62293,15,3,0,1,0,0,15
2015-11-16 17:18:15.4,62295,6,5,0,1,0,0,15
2015-11-16 17:18:21.4,62301,3,7,1,1,0,0,15
2015-11-16 17:18:37.9,62317,13,3,0,1,0,0,15
2015-11-16 17:18:44.1,62324,8,3,0,1,0,0,15
2015-11-16 17:19:09.8,62349,3,8,1,1,0,0,15
2015-11-16 17:19:20.2,62360,13,3,0,1,0,0,15
2015-11-16 17:19:31.5,62371,11,3,0,1,0,0,15
2015-11-16 17:19:32.9,62372,3,4,1,1,0,0,15
2015-11-16 17:19:33.5,62373,3,4,1,1,0,0,15
2015-11-16 17:19:57.2,62397,3,8,1,1,0,0,15
2015-11-16 17:20:11.8,62411,3,15,1,1,0,0,15
2015-11-16 17:20:15.4,62415,6,3,0,1,0,0,15
